,owner_id,owner_url,owner_type,owner_repute,tags,score,view_count,answer_count,last_edit_date,last_activity_date,creation_date,q_id,q_link,q_title
0,10517777,https://stackoverflow.com/users/10517777/sergiomoreno,registered,25,python&python-3.x&pyhook,2,75,0,1582123125,1582123125,1576504384,59358048,https://stackoverflow.com/questions/59358048/pyhook-crashes-when-it-tries-to-interpret-the-window-name-as-ascii,Pyhook crashes when it tries to interpret the window name as ASCII
1,4404444,https://stackoverflow.com/users/4404444/fluffybunny,registered,39,amazon-web-services&vpc&aws-vpc,1,23,1,NO-DATA,1582123107,1549442697,54549570,https://stackoverflow.com/questions/54549570/rules-for-detecting-malicious-or-suspicious-vpc-flow-log-entry,Rules for detecting malicious or suspicious VPC flow log entry
2,10927160,https://stackoverflow.com/users/10927160/salah112,registered,11,android&ios&dart&flutter,1,1860,3,NO-DATA,1582123060,1547719485,54233412,https://stackoverflow.com/questions/54233412/flutter-pub-get-failed-66,Flutter: pub get failed (66)
3,328808,https://stackoverflow.com/users/328808/natan-cox,registered,1199,java&spring-boot&aop&aspectj,3,869,4,NO-DATA,1582123053,1561503753,56763066,https://stackoverflow.com/questions/56763066/how-to-test-an-aspect-with-springboottest,How to test an aspect with SpringBootTest?
4,61624,https://stackoverflow.com/users/61624/daniel-kaplan,registered,49171,javascript&typescript&aws-sdk&amazon-athena&aws-sdk-js,9,440,2,1581443593,1582122742,1563907123,57170330,https://stackoverflow.com/questions/57170330/athena-getqueryexecution-returns-a-status-of-running-for-1-minute-even-though,"athena.getQueryExecution returns a status of RUNNING for 1 minute+, even though history says the job took 4 seconds"
5,7111582,https://stackoverflow.com/users/7111582/joxs,registered,1,javascript&jquery&carousel&slick&slick.js,0,18,2,NO-DATA,1582122733,1574107693,58922150,https://stackoverflow.com/questions/58922150/is-there-any-way-to-change-the-directions-left-to-right-in-slick-carousel-defa,Is there any way to change the directions left to right in Slick carousel ? Default it goes Right to left directions
6,2716108,https://stackoverflow.com/users/2716108/suganthan-raj,registered,1440,json&ansible,1,783,1,1563256118,1582122537,1563186451,57037832,https://stackoverflow.com/questions/57037832/how-to-resolve-warningthe-value-4-type-int-in-a-string-field-was-converted-to,How to resolve WARNING:The value 4 (type int) in a string field was converted to u&#39;4&#39; (type string) in ansible?
7,12083920,https://stackoverflow.com/users/12083920/yash-sinha,registered,11,dml&ab-initio,1,58,3,1577003205,1582122451,1576046351,59280085,https://stackoverflow.com/questions/59280085/ab-initio-to-read-comma-delimited-values,Ab initio to read comma delimited values
8,12295047,https://stackoverflow.com/users/12295047/cobber,registered,33,excel&vba,2,58,0,1582122407,1582122407,1573819634,58876730,https://stackoverflow.com/questions/58876730/count-only-visible-data-after-filtering,Count only visible data after filtering
9,6708627,https://stackoverflow.com/users/6708627/codezingat,registered,177,css&sass&css-selectors&text-styling,0,173,1,1551112559,1582122357,1550224968,54706846,https://stackoverflow.com/questions/54706846/is-there-any-css-selector-to-target-last-class,Is there any CSS selector to target last class?
10,5155835,https://stackoverflow.com/users/5155835/user5155835,registered,1336,angular&typescript,19,22658,8,NO-DATA,1582122327,1564129883,57216110,https://stackoverflow.com/questions/57216110/the-angular-compiler-requires-typescript-3-4-0-and-3-5-0-but-3-5-3-was-found,The Angular Compiler requires TypeScript &gt;=3.4.0 and &lt;3.5.0 but 3.5.3 was found instead
11,12446654,https://stackoverflow.com/users/12446654/capitano-giovarco,registered,1,google-people,0,45,1,1582122029,1582122029,1574866746,59072992,https://stackoverflow.com/questions/59072992/how-to-use-sync-token-on-google-people-api,How to use sync token on Google People API
12,6117695,https://stackoverflow.com/users/6117695/marko-i,registered,689,php&wordpress&woocommerce&product&shortcode,1,63,2,1565449173,1582121973,1565437704,57441867,https://stackoverflow.com/questions/57441867/restrict-content-to-those-who-purchased-a-woocommerce-product,Restrict content to those who purchased a Woocommerce product
13,6483029,https://stackoverflow.com/users/6483029/aritradb,registered,57,java&unicode&utf-8&java-8&thai,1,154,6,NO-DATA,1582121965,1576238903,59322322,https://stackoverflow.com/questions/59322322/thai-language-is-not-showing-in-java-output,Thai language is not showing in Java output
14,9816584,https://stackoverflow.com/users/9816584/ken-h,registered,33,python&multithreading&serial-port&webkit&gtk3,0,42,2,NO-DATA,1582121787,1576176774,59311107,https://stackoverflow.com/questions/59311107/python-and-webkit-watching-serial-port-thread-how-to-avoid-core-dump-running-j,"Python and Webkit, watching serial port thread, how to avoid core dump running javascript"
15,4638829,https://stackoverflow.com/users/4638829/nelson-rivera,registered,11,scala&karate&gatling,1,238,1,1561848233,1582121712,1561844351,56821029,https://stackoverflow.com/questions/56821029/crashed-with-j-l-nullpointerexception-when-i-try-to-run-karate-gatling-test-re,Crashed with &#39;j.l.NullPointerException&#39; when i try to run karate-gatling test reports
16,11431493,https://stackoverflow.com/users/11431493/abdelrahman-gamal,registered,21,c#&wpf&xaml&material-design&material-design-in-xaml,0,973,1,1574240778,1582121640,1559213215,56376748,https://stackoverflow.com/questions/56376748/messagebox-in-material-design-wpf-c,MessageBox in material design wpf c#
17,8741,https://stackoverflow.com/users/8741/profk,registered,41090,javascript&typescript&visual-studio&visual-studio-2017&gulp,2,181,2,1582121474,1582121474,1573126126,58747823,https://stackoverflow.com/questions/58747823/duplicate-function-implementation,Duplicate Function Implementation
18,12158242,https://stackoverflow.com/users/12158242/bathan,registered,35,swift&swiftui,0,309,2,1570616834,1582121411,1570611796,58300581,https://stackoverflow.com/questions/58300581/designing-your-own-button-in-swiftui,Designing your own button in SwiftUI
19,4378591,https://stackoverflow.com/users/4378591/cbrunain,registered,169,python&ssh&paramiko,1,333,1,1561999531,1582121342,1561992957,56837898,https://stackoverflow.com/questions/56837898/python-integration-testing-using-paramiko-to-fake-a-ssh-server-and-log-the-co,"Python integration testing : Using paramiko to fake a ssh server, and log the command given to it"
20,1838257,https://stackoverflow.com/users/1838257/jorijnsmit,registered,1552,python&tensorflow&keras&tensorflow2.0&tf.keras,29,2499,3,1582121246,1582121246,1576221854,59317919,https://stackoverflow.com/questions/59317919/warningtensorflowsample-weight-modes-were-coerced-from-to,WARNING:tensorflow:sample_weight modes were coerced from ... to [&#39;...&#39;]
21,10153626,https://stackoverflow.com/users/10153626/abc,registered,461,javascript&node.js&angular&typescript&angular8,2,284,4,1573533644,1582121035,1573531177,58811819,https://stackoverflow.com/questions/58811819/how-to-fix-ng-build-project-in-angular,How to fix ng build project in angular
22,6091553,https://stackoverflow.com/users/6091553/alchi-baucha,registered,492,angular&google-chrome&blob,1,300,1,1548690363,1582121017,1548638699,54394474,https://stackoverflow.com/questions/54394474/window-open-function-works-but-immediately-closes-the-newly-opened-window,Window open function works but immediately closes the newly opened window
23,4383820,https://stackoverflow.com/users/4383820/lasitha-yapa,registered,2666,amazon-web-services&aws-lambda&aws-cdk,4,700,3,NO-DATA,1582121015,1566907446,57674293,https://stackoverflow.com/questions/57674293/lambda-cant-find-modules-from-outer-folders-when-deployed-with-cdk,Lambda can&#39;t find modules from outer folders when deployed with CDK
24,1684537,https://stackoverflow.com/users/1684537/adam-robertson,registered,487,vue.js&vuejs2&vue-component,2,1883,3,NO-DATA,1582120884,1546659563,54048767,https://stackoverflow.com/questions/54048767/passing-data-from-php-html-to-vue-component,Passing data from PHP/HTML to .vue Component
25,4332480,https://stackoverflow.com/users/4332480/nurzhan-nogerbek,registered,2625,go,0,1147,2,1582120825,1582120825,1552506190,55150064,https://stackoverflow.com/questions/55150064/how-return-null-value-to-empty-string-field,How return null value to empty string field
26,1373900,https://stackoverflow.com/users/1373900/intel-chris,registered,135,git,0,121,4,1565692233,1582120770,1565688009,57474691,https://stackoverflow.com/questions/57474691/is-there-a-way-to-uncheckout-a-branch-from-a-worktree,Is there a way to &quot;uncheckout&quot; a branch from a worktree
27,4756317,https://stackoverflow.com/users/4756317/%d0%93%d0%b5%d0%be%d1%80%d0%b3%d0%b8-%d0%90%d0%bd%d0%b3%d0%b5%d0%bb%d0%be%d0%b2,registered,152,android&android-emulator&wear-os,0,18,1,1582120710,1582120710,1571892312,58534295,https://stackoverflow.com/questions/58534295/android-wear-emulator-goes-into-ambient-mode-automatically,Android Wear emulator goes into Ambient Mode automatically
28,601537,https://stackoverflow.com/users/601537/fatherofwine,registered,827,c#&amazon-web-services&authentication&asp.net-core-2.1,0,434,1,1549399480,1582120602,1548954627,54465832,https://stackoverflow.com/questions/54465832/cookie-authentication-issue-asp-net-core-2-1-aws-load-balancing,Cookie authentication issue ASP.NET CORE 2.1. AWS load balancing
29,2594961,https://stackoverflow.com/users/2594961/yaylitzis,registered,3828,bartender,0,29,2,NO-DATA,1582120527,1574679483,59030210,https://stackoverflow.com/questions/59030210/bartender-error-web-service-requires-the-enterprise-automation-edition-or-b,Bartender error: &#39;Web Service&#39; requires the &#39;Enterprise Automation&#39; edition or better to run
30,2907715,https://stackoverflow.com/users/2907715/ielyamani,registered,12512,ios&swift&xcode&swiftui,40,30256,12,NO-DATA,1582120422,1559875082,56487323,https://stackoverflow.com/questions/56487323/make-a-vstack-fill-the-width-of-the-screen-in-swiftui,Make a VStack fill the width of the screen in SwiftUI
31,9999035,https://stackoverflow.com/users/9999035/ram-shanker-g,registered,1016,python&machine-learning&scaling&test-data&normalization,2,433,1,1551340455,1582120295,1551339869,54920707,https://stackoverflow.com/questions/54920707/how-can-i-fit-the-test-data-using-min-max-scaler-when-i-am-loading-the-model,How can I fit the test data using min max scaler when I am loading the model?
32,6311080,https://stackoverflow.com/users/6311080/md-sazid-hasan-dip,registered,534,android-studio&flutter&dart&flutter-dependencies&macos-catalina,4,2209,4,1582120160,1582120160,1571116228,58387606,https://stackoverflow.com/questions/58387606/flutter-app-running-error-dart-can-not-be-opened-developer-can-not-be-verified,"Flutter App Running Error: Dart can not be opened, Developer can not be verified after upgrading to Catalina"
33,7355988,https://stackoverflow.com/users/7355988/jaczura-zolt%c3%a1n,registered,37,c#&sql-server&unit-testing&core,0,56,1,1578047886,1582120108,1577635493,59520994,https://stackoverflow.com/questions/59520994/c-core-cannot-open-database-in-unit-test-but-db-created,C# Core Cannot open database in unit test but db created
34,365592,https://stackoverflow.com/users/365592/mortenbock,registered,462,elasticsearch&elastic-cloud,2,29,2,NO-DATA,1582120106,1576847090,59425758,https://stackoverflow.com/questions/59425758/ignoring-specific-characters-with-elasticsearch-asciifolding,Ignoring specific characters with Elasticsearch asciifolding
35,10993097,https://stackoverflow.com/users/10993097/therealtengri,registered,139,python&python-3.x&ssl&python-3.7&smtplib,0,6993,2,1567195933,1582120035,1567100074,57715289,https://stackoverflow.com/questions/57715289/how-to-fix-ssl-sslerror-ssl-wrong-version-number-wrong-version-number-ssl,How to fix ssl.SSLError: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1056)?
36,9138395,https://stackoverflow.com/users/9138395/nariman-ermekov,registered,85,android&kotlin&android-animation&android-transitions,0,74,2,1556958624,1582119902,1556957684,55980750,https://stackoverflow.com/questions/55980750/gif-is-not-playing-after-shared-element-transition-glide-v-4-8-0,Gif is not playing after shared element transition. Glide v 4.8.0
37,10954678,https://stackoverflow.com/users/10954678/ji-ba,registered,88,android&android-widget,1,39,1,NO-DATA,1582119902,1570523745,58282808,https://stackoverflow.com/questions/58282808/is-there-something-different-widget-setting-on-android-q,Is there something different widget setting on android Q?
38,12403342,https://stackoverflow.com/users/12403342/electricwizard,registered,23,pandas,0,30,0,1582119873,1582119873,1576334262,59336085,https://stackoverflow.com/questions/59336085/percentage-variation-in-pandas,Percentage Variation in Pandas
39,12470037,https://stackoverflow.com/users/12470037/aleksli,registered,13,excel&vba,1,90,3,1582119853,1582119853,1577748002,59537880,https://stackoverflow.com/questions/59537880/remove-last-comma-from-a-cell-in-a-dynamic-range,Remove last comma from a cell in a dynamic range
40,2339966,https://stackoverflow.com/users/2339966/seb,registered,7,regex&redirect&http-status-code-301,0,21,1,NO-DATA,1582119840,1574521926,59009036,https://stackoverflow.com/questions/59009036/how-to-do-a-regex-permanent-redirection-in-htaccess,How to do a regex permanent redirection in htaccess
41,9861464,https://stackoverflow.com/users/9861464/lukeluck,registered,11,excel&vba&pdf,0,41,2,1582119695,1582119695,1573727792,58854736,https://stackoverflow.com/questions/58854736/open-a-page-in-a-pdf-using-vba-in-excel,Open a page in a pdf using VBA in Excel
42,12435934,https://stackoverflow.com/users/12435934/thinagorn,registered,3,excel&vba,0,42,1,1582119686,1582119686,1574761703,59048037,https://stackoverflow.com/questions/59048037/how-to-compare-time-values,How to compare time values?
43,6902961,https://stackoverflow.com/users/6902961/morton,registered,3246,javascript&react-native&redux&react-redux&redux-thunk,-1,187,2,1582119615,1582119615,1572436660,58624877,https://stackoverflow.com/questions/58624877/calling-an-action-triggers-multiple-reducers,Calling an action triggers multiple reducers?
44,12326428,https://stackoverflow.com/users/12326428/pedro-costa,registered,29,r&shiny&r-dygraphs,1,64,2,1574350278,1582119582,1572962648,58713038,https://stackoverflow.com/questions/58713038/how-do-i-send-multiple-dyseries-to-a-secondary-axis-based-on-checkbox-input-in-s,How do I send multiple dySeries to a secondary axis based on checkbox input in shiny?
45,7500562,https://stackoverflow.com/users/7500562/baletetree,registered,31,excel&vba&cjk,3,57,0,1582119534,1582119534,1576802969,59418643,https://stackoverflow.com/questions/59418643/how-do-i-input-chinese-text-into-vba-editor-in-excel-2010,How do I input Chinese text into VBA Editor in Excel 2010?
46,10864952,https://stackoverflow.com/users/10864952/leon-roki%c4%87,registered,51,angular&angular-material2,5,307,3,NO-DATA,1582119485,1549923336,54639981,https://stackoverflow.com/questions/54639981/angular2-custom-material-theme-in-each-lazy-loaded-submodule,Angular2: Custom material theme in each lazy loaded submodule
47,729474,https://stackoverflow.com/users/729474/missscripty,registered,333,vba&image&ms-access,1,44,0,1582119484,1582119484,1576080098,59289718,https://stackoverflow.com/questions/59289718/dynamically-show-pics-from-url,Dynamically Show Pics From URL
48,11598948,https://stackoverflow.com/users/11598948/bretauv,registered,1118,r&r-markdown&stargazer,0,43,0,1582119452,1582119452,1568842354,58000988,https://stackoverflow.com/questions/58000988/stargazer-put-several-lines-under-a-table,Stargazer: put several lines under a table
49,7168098,https://stackoverflow.com/users/7168098/berlines,registered,823,python&json&anaconda&install&standard-library,-3,1892,2,NO-DATA,1582119397,1554132074,55458507,https://stackoverflow.com/questions/55458507/json-package-not-available-in-anaconda,JSON package not available in anaconda
50,6995016,https://stackoverflow.com/users/6995016/jmiguel,registered,543,ios&xcode&xcasset,6,1738,6,1567274922,1582119324,1567274560,57740477,https://stackoverflow.com/questions/57740477/cant-assign-xcassets-to-the-main-target-on-xcode-11,Can&#39;t assign xcassets to the main target on Xcode 11
51,1217820,https://stackoverflow.com/users/1217820/snake,registered,11621,android&android-layout&bottomnavigationview,1,388,2,1546848104,1582119289,1546673051,54049897,https://stackoverflow.com/questions/54049897/how-to-add-divider-in-the-bottom-navigation-view,How to add divider in the bottom navigation view
52,1816704,https://stackoverflow.com/users/1816704/kenneth,registered,24902,javascript&fetch&aurelia,5,136,1,NO-DATA,1582119176,1560172501,56527175,https://stackoverflow.com/questions/56527175/fetch-client-redirect,Fetch client redirect
53,3783510,https://stackoverflow.com/users/3783510/rubie,registered,765,react-native&react-native-flatlist&react-native-elements,3,2513,5,NO-DATA,1582119123,1553253220,55298422,https://stackoverflow.com/questions/55298422/react-native-flatlist-not-scrolling-to-end,React Native FlatList not scrolling to end
54,8060667,https://stackoverflow.com/users/8060667/jorge-m-nures,registered,438,angular&jhipster,0,519,2,1550090699,1582118979,1550087587,54678369,https://stackoverflow.com/questions/54678369/jhipster-jhihasanyauthority-directive-check-for-no-authority,JHipster *jhiHasAnyAuthority directive check for &quot;no authority&quot;
55,2287486,https://stackoverflow.com/users/2287486/pari,registered,341,python&tf-idf&tfidfvectorizer,0,80,1,NO-DATA,1582118800,1552122099,55075674,https://stackoverflow.com/questions/55075674/what-does-column-represent-in-tfidf-matrix,what does column represent in tfidf matrix?
56,1091302,https://stackoverflow.com/users/1091302/lcj,registered,107,android&android-studio&wear-os,0,21,1,NO-DATA,1582118747,1571526555,58468754,https://stackoverflow.com/questions/58468754/android-wearos-program-structure,Android/WearOS Program Structure
57,11630267,https://stackoverflow.com/users/11630267/abhilash-km,registered,89,laravel&token&passport.js,0,30,2,NO-DATA,1582118694,1571135783,58392685,https://stackoverflow.com/questions/58392685/what-need-to-pass-for-logout-passport-function,What Need to Pass for Logout Passport Function
58,6182475,https://stackoverflow.com/users/6182475/burndowntheigloo,registered,415,firebase&google-cloud-firestore&google-cloud-functions&google-oauth&firebase-cli,31,7372,8,1574545311,1582118632,1569558468,58127896,https://stackoverflow.com/questions/58127896/error-could-not-load-the-default-credentials-firebase-function-to-firestore,Error: Could not load the default credentials (Firebase function to firestore)
59,3931314,https://stackoverflow.com/users/3931314/user3931314,registered,99,here-api&here-maps-rest,0,90,1,NO-DATA,1582118585,1559770378,56468308,https://stackoverflow.com/questions/56468308/here-maps-autocomplete-geocode-has-some-strange-issue-with-language-translation,Here Maps autocomplete geocode has some strange issue with language translation
60,7801616,https://stackoverflow.com/users/7801616/fenil-shah,registered,1,azure&powershell&azure-elasticpool,0,38,2,NO-DATA,1582118569,1555590030,55745918,https://stackoverflow.com/questions/55745918/getting-error-at-the-time-of-use-azuresqljobconnection-currentazuresubscription,Getting error at the time of Use-AzureSqlJobConnection -CurrentAzureSubscription
61,10311873,https://stackoverflow.com/users/10311873/irbis,registered,734,c++&googletest&gmock,0,451,2,1563267672,1582118557,1563225812,57047377,https://stackoverflow.com/questions/57047377/gmock-how-to-mock-function-with-noexcept-specifier,gmock - how to mock function with noexcept specifier
62,11584728,https://stackoverflow.com/users/11584728/shahrear-bin-amin,registered,325,node.js&firebase&google-cloud-functions,0,61,2,1564722184,1582118499,1564706921,57318668,https://stackoverflow.com/questions/57318668/showing-unexpected-token-admin-error-although-admin-is-declared,Showing &quot;unexpected token admin&quot; error although admin is declared
63,10537267,https://stackoverflow.com/users/10537267/tarun-narayanan,registered,11,python&pandas&beautifulsoup&multiprocessing&tqdm,1,25,0,1582118498,1582118498,1576945857,59437942,https://stackoverflow.com/questions/59437942/ignore-connectionerror-while-scraping,Ignore ConnectionError while scraping
64,2861702,https://stackoverflow.com/users/2861702/jorgeblom,registered,2256,cloud&microservices&api-gateway,0,35,2,NO-DATA,1582118429,1574072052,58912213,https://stackoverflow.com/questions/58912213/service-to-service-communication-api-gateway-vs-service-mesh,Service-to-service communication: API Gateway vs. Service Mesh
65,6813231,https://stackoverflow.com/users/6813231/a-subscriber,registered,4120,android-studio-3.0&google-maps-api-2,0,22,1,1582118367,1582118367,1576828885,59421741,https://stackoverflow.com/questions/59421741/google-maps-android-api-authorization-failure,Google Maps Android API: Authorization failure
66,3284080,https://stackoverflow.com/users/3284080/lucas-couto,registered,1,android&storage-access-framework,0,69,2,NO-DATA,1582118363,1569427218,58102406,https://stackoverflow.com/questions/58102406/cant-figure-out-how-to-use-action-view-and-storage-access-framework-together,Can&#39;t figure out how to use ACTION_VIEW and Storage Access Framework together
